_dataobs_,Race,Race_Label,Signs_Of_Mental_Illness,Body_Camera,Day,Month,Threat_Level,Region,REP_Armed_Category,REP_Flee,REP_Mental_Illness,F_Signs_Of_Mental_Illness,I_Signs_Of_Mental_Illness,_WARN_,_NODE_,P_Signs_Of_Mental_Illness0,P_Signs_Of_Mental_Illness1,Q_Signs_Of_Mental_Illness0,Q_Signs_Of_Mental_Illness1,V_Signs_Of_Mental_Illness0,V_Signs_Of_Mental_Illness1,R_Signs_Of_Mental_Illness0,R_Signs_Of_Mental_Illness1,U_Signs_Of_Mental_Illness
3189,1,Black,0,0,28,8,Attack,Southeast,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3190,0,White,0,0,28,8,Other,Midwest,Sharp Weapon,Not fleeing,No,0,0,,35,0.67768595,0.32231405,0.67768595,0.32231405,0.475,0.525,0.32231405,-0.32231405,0
3191,1,Black,0,0,31,8,Other,Midwest,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3192,0,White,0,1,1,9,Attack,Southwest,Vehicle,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3193,0,White,0,0,1,9,Attack,West,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3194,1,Black,0,1,31,8,Other,Midwest,Blunt Weapon,Not fleeing,No,0,0,,21,0.6,0.4,0.6,0.4,0.5375,0.4625,0.4,-0.4,0
3195,0,Hispanic,0,0,30,8,Attack,Southwest,Gun,Undetermined,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3196,0,White,0,0,3,9,Attack,Southeast,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3197,1,Black,0,1,17,5,Attack,West,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
3198,1,Black,0,0,5,9,Attack,Midwest,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
